#{"t_start": 1716093212.7678862, "env_id": "MagicTowerEnv-v0"}
r,l,t
-9772.0,1000,2.356863
-9772.0,1000,3.673344
-9772.0,1000,5.208303
-1687.0,223,5.758579
199.0,238,6.317636
-288.0,367,33.97073
758.0,55,34.10125
-1474.0,271,57.904695
428.0,187,58.345982
-17.0,220,81.91625
-2359.0,346,82.730394
-1374.0,234,105.083479
498.0,108,105.34053
586.0,119,105.620589
-2443.0,394,131.629476
-1602.0,282,132.291737
-424.0,310,153.576111
-918.0,309,177.76825
354.0,180,178.193342
434.0,100,178.426378
-1620.0,462,204.870302
127.0,238,231.896733
-1026.0,430,232.906924
-495.0,410,256.424032
-3604.0,668,306.481038
220.0,255,307.081145
340.0,185,307.518718
-108.0,129,329.802194
-1644.0,535,354.563236
90.0,264,355.182875
-3128.0,921,401.781678
234.0,210,402.282267
93.0,281,425.128724
-112.0,277,425.782091
-6807.0,1000,476.467722
48.0,247,505.314233
717.0,143,505.649981
594.0,151,506.004543
605.0,107,528.728266
-2594.0,518,552.640717
-5220.0,687,578.094218
2.0,275,601.788244
519.0,130,602.095798
-7175.0,1000,650.75308
78.0,280,651.405064
-347.0,249,680.872188
552.0,90,681.080869
401.0,198,681.543764
588.0,53,681.666877
524.0,176,705.587846
38.0,293,706.269056
146.0,302,730.332597
629.0,177,730.746684
347.0,135,753.662635
-2329.0,361,754.504173
1008.0,39,754.595182
607.0,109,779.434956
-650.0,320,780.182838
658.0,110,780.436927
630.0,138,804.861006
-4381.0,584,828.779418
670.0,107,829.029026
-5045.0,809,883.933848
516.0,108,884.188402
-4723.0,694,912.464411
-27.0,248,936.170381
-1708.0,310,936.89769
-3102.0,585,958.876482
-363.0,350,986.521481
-3407.0,532,1013.826573
-1468.0,200,1038.21331
-69.0,236,1038.764908
535.0,123,1039.053463
-2979.0,406,1059.397861
-500.0,444,1085.840879
-170.0,357,1107.758213
-2909.0,581,1133.492217
-1011.0,395,1160.572496
-710.0,218,1161.084082
-790.0,401,1183.815601
336.0,126,1184.10972
-3303.0,388,1209.399773
642.0,54,1209.528107
443.0,134,1209.839658
-3278.0,711,1234.661464
-390.0,357,1263.051642
674.0,49,1263.16616
-1430.0,282,1286.548536
-4170.0,708,1308.029597
646.0,113,1308.292633
61.0,259,1334.102112
1082.0,28,1334.168206
-1930.0,289,1357.226503
684.0,57,1357.358533
-2228.0,651,1386.638935
-3800.0,518,1411.422757
-62.0,276,1412.069666
732.0,108,1433.725319
98.0,229,1434.255585
-654.0,346,1455.329988
-6048.0,1000,1506.244327
-4015.0,870,1532.431925
-4171.0,619,1587.021629
912.0,63,1587.16948
-54.0,250,1587.753078
694.0,110,1612.429933
-743.0,370,1613.291621
594.0,129,1613.593146
403.0,205,1637.134662
46.0,236,1637.683593
-4782.0,862,1682.963481
696.0,126,1683.255558
-2640.0,567,1701.916584
-133.0,327,1727.173419
-3495.0,456,1750.65915
-210.0,343,1775.001344
-3587.0,501,1799.453931
496.0,101,1799.690584
234.0,201,1800.16137
-1310.0,341,1824.815142
-1558.0,575,1848.869092
606.0,126,1849.168104
-6708.0,1000,1900.476857
-625.0,351,1924.92143
-748.0,422,1951.52363
340.0,167,1951.911841
-2481.0,387,1975.229043
55.0,292,1975.910805
349.0,147,1996.217041
-1518.0,198,1996.672515
-1281.0,386,2023.336486
928.0,65,2023.490518
