#{"t_start": 1716093212.7668865, "env_id": "MagicTowerEnv-v0"}
r,l,t
-9772.0,1000,2.357863
-9772.0,1000,3.674344
-9772.0,1000,5.209302
-1763.0,326,6.002695
-2757.0,556,34.09925
80.0,314,58.005214
162.0,120,58.286767
797.0,68,58.448501
-571.0,230,82.042285
76.0,242,82.609875
-810.0,100,82.845021
342.0,192,105.101479
-631.0,429,131.195407
568.0,128,131.495961
482.0,96,131.720992
-675.0,311,153.007796
-215.0,391,153.927328
346.0,106,177.641729
538.0,158,178.014306
-184.0,353,204.209215
401.0,149,204.556756
624.0,108,204.807298
-2662.0,499,232.443987
518.0,160,232.820574
118.0,236,255.934617
-5325.0,894,306.516043
-1249.0,471,307.627237
869.0,54,329.736194
-30.0,195,330.194791
-2301.0,327,354.464712
-3802.0,875,377.85268
-3411.0,660,424.700655
-3093.0,306,425.420352
380.0,118,425.699905
734.0,52,448.247537
607.0,172,448.655604
-1637.0,445,475.410033
809.0,42,475.509551
-2552.0,551,505.266815
-2415.0,427,528.741266
92.0,311,529.473895
-2211.0,587,553.552887
145.0,193,577.839643
-301.0,324,578.598806
785.0,71,601.815243
107.0,213,602.31783
-324.0,295,623.119325
-4618.0,706,650.977629
-1696.0,352,680.680147
-421.0,399,681.610871
-241.0,264,705.738364
-3543.0,489,730.236082
-5187.0,1000,779.755167
-1662.0,345,804.659972
761.0,86,804.862006
155.0,174,805.267654
-4533.0,639,829.311566
-5817.0,1000,884.66853
446.0,160,911.693604
566.0,130,912.000158
-1972.0,295,912.689447
-1258.0,271,936.451586
300.0,247,937.032206
976.0,53,957.750737
358.0,149,958.102321
-960.0,162,958.489921
-2112.0,472,986.411963
884.0,64,986.573481
673.0,88,986.779521
301.0,181,1013.261464
-2712.0,405,1014.210642
-3408.0,693,1059.142312
-439.0,363,1085.397736
575.0,87,1085.601329
-7.0,242,1086.165964
-1905.0,381,1108.14333
744.0,42,1108.241849
68.0,281,1133.271176
-2263.0,630,1160.902046
244.0,240,1161.464157
-2758.0,686,1209.243221
-2906.0,434,1210.256728
312.0,226,1233.949175
1006.0,59,1234.087692
-1052.0,393,1262.556054
-36.0,192,1263.006641
