#{"t_start": 1716093212.7668865, "env_id": "MagicTowerEnv-v0"}
r,l,t
-9772.0,1000,2.357863
-9772.0,1000,3.674344
-9772.0,1000,5.209302
-2584.0,481,6.366678
-509.0,150,33.502454
265.0,154,33.865215
-425.0,385,57.942213
665.0,114,58.21225
-3004.0,544,82.542876
-305.0,328,105.122479
-4874.0,560,131.522959
391.0,150,131.875668
-2018.0,359,153.274487
-339.0,362,177.587728
756.0,142,177.923792
-859.0,414,204.263215
-2316.0,757,232.499498
-655.0,291,255.746382
-1996.0,563,280.450583
550.0,92,280.667614
573.0,121,280.949163
463.0,59,281.09068
-1705.0,241,306.755589
-7559.0,896,330.851969
-92.0,293,355.032844
-634.0,277,377.021074
293.0,185,377.453669
834.0,69,377.615187
-4449.0,699,402.369785
216.0,210,425.048205
-1821.0,231,425.592387
780.0,33,425.668393
290.0,154,448.46157
-3741.0,538,475.436033
524.0,145,475.778587
202.0,201,476.442719
-2824.0,616,528.629746
768.0,99,528.863785
719.0,132,529.17534
282.0,189,529.619931
-988.0,325,553.077784
-6506.0,983,602.27483
-1792.0,692,624.018117
-71.0,265,650.833592
-3463.0,397,680.640085
-1722.0,330,681.411679
-2819.0,718,729.953537
-1350.0,246,730.528644
-1733.0,260,753.736659
222.0,217,754.239018
586.0,83,754.434644
-57.0,193,779.469955
-5088.0,774,805.377166
-3918.0,681,829.519609
254.0,226,856.353196
280.0,182,856.776262
-2666.0,377,884.372436
-3404.0,455,912.092676
-3951.0,426,936.213893
224.0,229,936.751653
-791.0,391,958.264837
230.0,236,958.827477
-960.0,427,986.654998
-1698.0,288,1013.388988
406.0,164,1013.772055
-80.0,218,1038.199806
304.0,185,1038.63339
167.0,216,1039.13698
-1366.0,301,1059.236835
476.0,130,1059.541898
624.0,81,1059.730926
276.0,186,1085.571323
523.0,112,1085.832366
-226.0,377,1107.796212
233.0,258,1108.40588
2.0,329,1133.546222
-3031.0,505,1160.883045
-4170.0,838,1184.634837
-106.0,172,1209.421773
-290.0,266,1210.042692
-1042.0,274,1233.846657
-54.0,237,1234.396827
226.0,146,1262.289953
18.0,273,1262.933123
498.0,153,1263.290683
