#{"t_start": 1716093212.7678862, "env_id": "MagicTowerEnv-v0"}
r,l,t
-9772.0,1000,2.356863
-9772.0,1000,3.673344
-9772.0,1000,5.208303
507.0,173,5.642353
-789.0,152,5.999696
-349.0,363,33.635178
-1428.0,567,58.14225
-1368.0,610,82.62988
-1142.0,465,105.52956
350.0,175,105.942149
-2608.0,553,132.325738
-1615.0,486,154.022848
-2001.0,692,204.477248
538.0,131,204.783298
640.0,168,205.172753
655.0,160,232.019246
-7104.0,1000,280.309066
-208.0,256,280.912163
-2009.0,275,306.658072
-579.0,215,307.163656
-1982.0,422,330.138792
630.0,160,330.518349
626.0,61,330.663919
43.0,228,354.696301
578.0,176,355.108359
-571.0,279,377.100596
-952.0,289,377.778162
280.0,173,401.279085
441.0,154,401.645647
-4230.0,588,425.223775
-736.0,334,448.43857
910.0,56,448.571093
237.0,236,449.126308
-1017.0,338,475.63207
342.0,192,476.275691
-4117.0,649,528.539231
-497.0,313,529.277859
306.0,84,529.475895
-353.0,223,552.692717
144.0,138,553.018272
208.0,155,553.387849
-35.0,292,577.906644
486.0,214,578.406773
153.0,257,602.061798
-1406.0,251,602.65169
645.0,116,623.030812
-1498.0,398,623.977118
-2777.0,586,651.536579
-1691.0,308,681.14087
950.0,52,681.261918
-192.0,316,705.509328
346.0,188,705.948395
-4598.0,752,753.662635
351.0,140,753.986901
-587.0,304,754.698714
-439.0,363,780.129839
329.0,171,804.627972
-822.0,429,805.636302
752.0,43,805.736818
-1859.0,285,828.952021
392.0,160,829.322572
412.0,113,855.893366
468.0,165,856.27768
-3879.0,653,884.514955
-4764.0,819,936.212893
822.0,81,936.403928
477.0,131,936.710653
816.0,69,936.872684
-446.0,435,958.49892
-244.0,247,985.897373
-1715.0,667,1013.526019
279.0,172,1013.928085
-592.0,325,1038.606878
250.0,234,1039.154979
-5313.0,1000,1086.291482
640.0,128,1107.673694
436.0,188,1108.116325
1020.0,76,1108.296362
136.0,245,1133.240041
-410.0,368,1134.101904
821.0,66,1134.256942
-3096.0,354,1161.241601
-148.0,353,1183.859606
-96.0,319,1184.602837
444.0,89,1209.195221
-1362.0,447,1210.238729
571.0,114,1233.673536
-687.0,404,1234.610466
-5677.0,665,1286.445507
-2073.0,432,1307.280418
-1357.0,462,1308.362149
418.0,89,1333.772996
-1711.0,310,1334.494334
-138.0,267,1357.506052
-5986.0,944,1411.04162
-2547.0,662,1433.991472
-3628.0,692,1456.006196
-384.0,270,1482.314096
356.0,160,1482.692669
-769.0,257,1506.04829
431.0,146,1506.396358
642.0,144,1506.739917
-6037.0,874,1557.747813
429.0,121,1558.045525
-6006.0,1000,1613.111023
611.0,132,1613.417847
-1368.0,258,1637.084662
298.0,276,1637.726594
833.0,117,1657.052079
-180.0,304,1657.758684
-1835.0,342,1682.772933
602.0,179,1683.191517
-2720.0,519,1701.740548
-346.0,259,1726.835863
816.0,78,1727.0189
-8294.0,1000,1775.318899
674.0,49,1775.435423
694.0,92,1775.650971
-3295.0,501,1800.099851
179.0,249,1824.53959
-316.0,310,1825.263733
-1837.0,373,1848.84558
693.0,95,1849.073589
776.0,140,1849.403144
-6627.0,1000,1900.708957
-2280.0,321,1925.08395
424.0,119,1925.361665
-1317.0,231,1951.51463
-2380.0,433,1952.527686
177.0,121,1975.222043
719.0,123,1975.50873
454.0,152,1975.8628
