step,hp,enemy,coin
29,2,2,2
38,1,2,2
26,1,2,2
24,2,2,2
29,1,2,2
28,1,2,2
40,2,2,2
22,2,2,2
20,1,2,2
38,2,2,2
59,1,2,2
27,1,2,2
50,2,2,2
51,1,2,2
25,1,2,2
68,1,1,2
17,1,2,2
35,1,2,2
26,2,2,2
26,2,2,2
41,1,2,2
57,2,2,2
26,1,2,2
17,2,2,2
22,2,2,2
19,2,2,2
47,1,2,2
37,1,2,2
29,1,2,2
35,2,2,2
45,2,2,2
26,1,2,2
30,1,2,2
27,1,2,2
27,1,2,2
21,2,2,2
42,1,2,2
27,1,2,2
21,2,2,2
46,0,1,2
50,2,2,2
36,1,2,2
52,0,0,2
30,1,2,2
34,1,2,2
32,2,2,2
105,2,1,2
32,1,2,2
20,2,2,2
33,1,2,2
30,1,2,2
28,2,2,2
23,1,2,2
43,1,2,2
48,2,2,2
23,1,2,2
41,2,2,2
36,2,2,2
55,2,2,2
19,1,2,2
40,1,2,2
25,1,2,2
69,2,2,2
48,1,2,2
22,2,2,2
32,2,2,2
26,1,2,2
30,2,2,2
38,1,2,2
39,1,2,2
28,1,2,2
37,2,2,2
19,2,2,2
25,1,2,2
37,1,2,2
29,2,2,2
105,1,0,1
31,2,2,2
33,1,2,2
36,2,2,2
27,1,2,2
35,1,2,2
18,1,2,2
35,2,2,2
30,2,2,2
45,1,2,2
36,1,2,2
57,1,2,2
23,1,2,2
23,2,2,2
22,2,2,2
58,1,2,2
29,2,2,3
43,2,2,2
26,2,2,2
30,2,2,2
43,1,2,2
24,1,2,2
34,2,2,2
23,1,2,2
76,1,1,2
17,1,2,2
25,1,2,2
31,2,2,2
41,2,3,2
43,1,2,2
58,1,2,2
22,2,2,2
49,1,2,2
31,2,2,2
53,1,2,2
27,2,2,2
36,2,2,2
50,0,0,3
33,2,2,2
31,1,2,2
17,2,2,2
26,2,2,2
19,2,2,2
33,2,2,2
22,2,2,2
31,1,2,2
48,2,2,2
40,2,2,2
21,1,2,2
34,2,2,2
27,2,2,2
30,1,2,2
30,2,2,2
40,1,2,2
41,1,2,2
60,2,2,2
34,2,2,2
44,2,3,1
25,1,2,2
33,1,2,2
32,1,2,2
31,0,1,2
33,2,2,2
27,1,2,2
105,1,0,1
105,1,1,2
21,2,2,2
22,2,2,3
22,1,2,2
49,2,2,2
28,1,2,2
105,2,3,0
27,1,2,2
28,2,2,2
30,1,2,2
23,1,2,2
25,1,2,2
37,1,2,2
18,1,2,2
32,1,2,2
34,2,2,2
23,1,2,2
22,1,2,2
32,1,2,2
18,1,2,2
22,2,2,2
43,1,2,2
35,2,2,2
32,2,2,2
23,0,1,2
21,1,2,2
49,1,2,2
38,2,2,2
21,2,2,2
27,2,2,2
34,2,2,2
25,2,2,2
31,2,2,2
28,1,2,2
57,1,2,2
35,1,2,2
34,2,2,2
24,1,2,2
23,1,2,2
61,1,2,2
24,2,2,2
28,2,2,2
40,1,2,2
73,0,0,0
37,1,2,2
29,1,2,2
24,1,2,2
62,1,2,2
23,2,2,2
70,1,0,1
35,1,2,2
31,1,2,2
19,1,2,2
32,2,2,2
55,1,2,2
28,2,3,2
38,2,2,2
27,1,2,2
33,2,2,2
30,2,2,2
31,1,2,2
20,2,3,2
21,2,2,2
25,1,2,2
50,1,2,2
65,1,1,2
41,2,2,2
105,2,2,1
25,1,2,2
25,1,2,2
23,2,2,2
28,2,2,2
30,1,2,2
37,1,2,2
35,1,2,2
59,2,2,2
33,1,2,2
51,1,2,2
21,1,2,2
25,2,2,2
19,1,2,2
38,1,2,2
20,1,2,2
87,0,1,2
27,2,2,2
38,2,2,2
27,2,2,2
33,2,2,2
44,1,2,2
105,2,1,0
42,2,2,2
18,1,2,2
70,1,2,2
23,2,2,2
20,1,2,2
31,1,2,2
31,1,2,2
65,1,2,2
23,1,2,2
26,2,2,2
23,1,2,2
26,2,2,2
33,1,2,2
22,1,2,2
70,0,0,2
36,2,2,2
46,2,2,2
27,2,2,2
31,1,2,2
