step,hp,enemy,coin
27,1,2,2
23,2,2,2
27,2,2,2
45,2,2,2
25,2,2,2
93,2,2,2
35,2,2,2
36,1,2,2
40,2,2,2
38,1,2,2
105,2,0,1
40,1,2,2
23,1,2,2
45,1,2,2
96,0,1,0
46,1,2,2
18,1,2,2
25,2,2,2
30,2,2,2
41,1,2,2
24,1,2,2
43,1,2,2
22,2,2,2
25,2,2,2
39,2,2,2
26,1,2,2
45,2,2,2
36,2,2,2
31,1,2,2
27,1,2,2
24,2,2,2
70,1,1,2
34,1,2,2
30,1,2,2
30,2,2,2
26,1,2,2
32,1,2,2
35,2,2,2
27,2,2,2
33,2,2,2
24,1,2,2
38,2,2,2
76,2,2,2
39,2,2,2
28,1,2,2
31,1,2,2
53,1,2,2
20,1,2,2
50,1,2,2
51,2,2,2
46,2,2,2
105,1,1,1
42,1,2,2
30,1,2,2
44,1,2,2
24,2,2,2
105,1,1,1
36,2,2,2
39,2,2,2
33,2,3,2
39,1,2,2
88,1,1,2
39,0,1,2
42,1,2,2
48,2,2,2
20,2,2,2
37,2,2,2
29,2,2,2
47,2,2,2
25,1,2,2
25,2,2,2
21,1,2,2
28,2,2,2
105,1,0,1
22,1,2,2
19,2,2,2
24,2,2,2
29,1,2,2
39,1,2,2
20,1,2,2
32,1,2,2
46,1,2,2
20,1,2,2
25,1,2,2
42,1,2,2
20,1,2,2
29,2,2,2
26,2,2,2
39,2,2,2
24,2,2,2
22,1,2,2
53,1,2,2
56,1,1,1
39,1,2,2
62,2,2,2
28,2,2,2
41,2,2,2
26,2,2,2
29,2,2,2
30,1,2,2
28,1,2,2
42,2,2,2
22,2,2,2
36,1,2,2
21,1,2,2
28,1,2,2
27,1,2,2
25,2,2,2
37,2,2,2
39,1,2,2
22,2,2,2
27,1,2,2
39,2,2,2
21,1,2,2
22,2,2,2
18,1,2,2
35,1,2,2
31,1,2,2
33,2,2,2
32,2,3,1
33,2,2,2
37,2,2,2
32,1,2,2
36,0,1,3
23,1,2,2
45,1,2,2
58,1,1,2
21,1,2,2
105,1,1,2
25,1,2,2
23,1,2,2
25,1,2,2
31,1,2,2
18,2,2,2
71,2,2,2
29,1,2,2
41,1,2,2
37,2,2,2
63,2,2,2
21,1,2,2
21,2,2,2
39,2,2,2
54,2,2,2
38,2,2,2
35,2,2,2
29,1,2,2
22,1,2,2
25,2,2,2
26,2,2,2
49,2,3,1
49,1,2,2
25,1,2,2
27,2,2,2
28,1,2,2
38,2,2,2
25,2,2,2
32,2,2,2
37,2,2,2
20,1,2,2
42,1,2,2
