#{"t_start": 1718528712.2435002, "env_id": "CoinModuleMagicTowerEnv_6x6"}
r,l,t
10.7,58,310.348004
-5.1,85,312.316251
9.9,54,312.446287
8.3,73,312.621989
-88.8,80,312.810739
-8.9,107,314.871344
23.7,45,314.978471
12.1,51,315.102004
26.7,35,315.185528
27.5,44,315.292914
-7.0,103,317.046254
14.3,60,317.190791
2.3,72,317.362052
34.1,29,317.43358
34.7,27,319.449569
7.9,72,319.62811
19.9,46,319.741925
32.9,33,319.851634
-29.3,124,322.103183
35.6,31,322.175942
35.3,25,322.237473
10.5,82,322.432011
26.0,42,322.530542
27.9,45,324.371246
-62.7,165,324.76647
28.7,33,324.845168
-11.5,111,328.11917
18.1,59,328.260229
28.3,39,328.353761
27.7,34,328.434771
31.5,40,328.5283
31.9,34,330.064052
26.7,42,330.164583
32.7,36,330.255108
17.5,54,330.424655
35.1,28,330.494177
28.5,36,330.582709
15.5,49,330.702237
-9.2,101,332.323622
8.1,62,332.476173
14.1,63,332.639782
22.7,46,334.875612
-37.7,131,335.189202
30.0,38,335.288878
-5.3,88,338.058895
17.7,51,338.180426
37.5,27,338.244958
27.5,37,338.331968
-8.1,95,338.569544
33.7,35,340.62346
14.3,44,340.729186
18.1,50,340.869772
-3.5,89,341.086825
32.5,39,341.182355
14.9,51,343.343302
36.1,27,343.407341
24.3,50,343.527031
20.7,48,343.641563
-12.5,98,343.873177
27.0,48,346.015491
19.6,61,346.161395
29.9,36,346.246924
-14.0,103,346.495969
-21.1,129,348.989954
39.7,22,349.040963
41.3,19,349.089485
15.9,64,349.242024
15.5,56,351.612568
32.9,33,351.6901
12.9,53,351.841627
31.4,38,351.931158
31.3,36,352.017687
25.9,40,352.113214
-1.7,76,353.607415
1.3,80,353.805483
19.1,58,353.94668
33.9,32,354.032192
8.7,67,355.953772
-27.7,123,356.25703
37.1,26,356.321035
26.1,44,356.426568
12.5,59,358.888394
29.1,41,358.985914
32.7,29,359.055444
7.9,72,359.229971
31.7,30,359.3025
18.9,54,359.432017
31.5,33,361.17397
32.1,31,361.254506
-25.2,124,361.581072
1.7,74,361.760176
19.5,52,364.390468
6.4,61,364.536992
20.9,45,364.646056
34.7,27,364.709871
35.9,30,364.7834
2.9,77,366.393463
21.2,44,366.497511
37.1,26,366.569591
35.1,35,366.655774
28.0,40,366.755297
34.1,29,366.827811
19.7,56,366.963871
35.7,26,368.372869
37.5,27,368.438869
22.8,48,368.555402
30.3,37,368.643515
29.3,38,368.737047
20.8,50,368.857585
40.9,25,368.920108
19.0,56,370.357157
30.5,41,370.465208
27.2,38,370.558214
0.7,73,370.733127
2.5,76,372.601407
22.0,46,372.712938
35.1,28,372.780465
-0.3,83,372.978041
29.6,37,373.068568
17.7,58,375.044521
30.9,35,375.129569
30.2,35,375.212101
7.2,79,375.400162
36.9,29,375.469689
40.4,22,375.521689
27.3,40,377.439108
32.7,29,377.510636
23.0,45,377.618165
41.3,19,377.662695
13.9,59,377.803227
24.1,39,377.893757
8.7,74,379.661174
30.9,35,379.74624
15.9,50,379.867299
38.3,22,379.920294
-37.1,97,380.150873
6.7,69,382.301102
31.5,33,382.379616
30.5,41,382.477452
13.3,54,382.606984
24.9,48,382.723513
33.3,34,382.807045
30.0,38,384.260933
24.9,48,384.378148
26.6,47,384.492679
32.6,34,384.583209
36.7,25,384.643206
31.1,39,384.739738
28.4,41,384.838263
33.3,34,386.184651
25.7,43,386.292178
28.8,42,386.393231
37.7,24,386.452239
18.1,52,386.57729
41.3,19,386.626289
35.7,26,386.71382
31.3,43,388.187482
28.6,38,388.283997
-157.9,109,388.55299
9.9,63,388.70904
22.8,41,391.127065
37.3,23,391.182597
35.0,33,391.260606
30.0,38,391.351121
22.3,52,391.474697
23.0,45,391.583226
28.3,39,391.677758
28.1,35,393.065134
19.5,59,393.208169
-58.5,151,393.578099
33.3,34,396.521263
10.9,62,396.670479
