#{"t_start": 1717812315.207674, "env_id": "KeyModuleMagicTowerEnv_6x6"}
r,l,t
13.4,17,196.566636
5.9,28,196.629681
12.3,16,196.66768
-2.2,41,196.760731
-17.1,58,198.261874
6.5,19,198.306156
7.6,20,198.357671
9.1,22,198.425673
14.5,11,198.454185
5.6,22,198.509185
-23.1,71,198.683722
16.1,8,198.704721
1.2,39,200.430645
12.3,16,200.47169
13.1,11,200.49769
7.4,23,200.553206
15.7,14,200.589208
7.9,19,200.634718
8.8,23,200.689719
11.3,24,200.748744
8.7,21,200.802745
2.0,34,200.883809
4.9,29,200.956047
12.9,14,200.991048
8.6,26,202.031299
8.3,20,202.079457
17.1,7,202.095456
-5.8,46,202.208754
11.7,18,202.254785
18.1,6,202.278789
10.4,20,202.333809
-9.9,55,202.471006
13.1,11,202.496006
7.0,22,202.549034
-17.3,61,204.038167
14.1,10,204.062167
0.8,31,204.143228
-28.1,35,204.231232
17.5,8,204.250282
2.8,29,204.322413
-8.7,51,204.451698
6.7,23,204.509698
10.6,17,204.552732
6.5,26,204.614732
6.5,19,206.02715
3.0,26,206.088174
10.9,23,206.146196
7.9,19,206.193196
13.6,14,206.2292
-16.9,62,206.379281
17.5,8,206.40128
8.4,22,206.453323
13.3,15,206.493502
18.1,6,206.510502
12.4,18,206.557018
-169.9,103,208.300988
10.1,14,208.337991
10.4,20,208.386099
-9.1,43,208.490155
8.9,18,208.536161
12.4,18,208.579196
-4.3,41,208.680269
14.3,14,208.712267
10.8,21,210.363413
-13.1,54,210.497529
15.1,9,210.518529
12.0,17,210.570863
2.5,30,210.649376
10.5,15,210.686376
1.2,32,210.767421
-82.5,84,210.971545
16.5,9,210.996545
-10.8,51,213.081921
-98.3,70,213.242009
12.5,13,213.273008
6.2,27,213.334239
-8.3,45,213.437428
17.1,7,213.453512
-1.6,39,213.543665
1.7,35,215.29884
16.5,9,215.32184
4.0,25,215.381944
-16.9,62,215.535035
13.5,12,215.56306
1.6,33,215.641065
-11.9,50,215.766292
15.5,10,215.789292
6.4,24,215.847314
3.7,33,217.415556
