#{"t_start": 1717570021.8261635, "env_id": "BattleModuleMagicTowerEnv_6x6"}
r,l,t
9.7,20,97.770711
-13.3,18,97.815811
11.1,7,97.832811
-18.5,20,97.881811
-5.1,33,97.961872
-8.5,9,97.98387
-2.4,31,98.062389
2.9,25,98.123909
-11.7,15,98.162909
-0.2,26,98.225426
-16.2,10,99.256579
4.5,15,99.292583
5.0,18,99.337651
-14.2,8,99.381696
-6.9,6,99.398701
-2.8,30,99.478214
-18.4,15,99.517732
11.1,7,99.538174
-25.5,27,99.609687
-15.2,9,99.632687
5.3,17,99.677685
-8.9,47,99.799209
-13.8,9,99.82372
-9.5,10,99.848719
-18.5,29,99.925237
-15.4,12,101.244071
3.5,16,101.283071
-3.2,29,101.35659
-20.1,29,101.429016
-9.9,9,101.453017
5.5,34,101.537531
-14.8,10,101.563531
4.9,16,101.603047
-40.8,56,101.738573
-18.2,12,101.769573
11.5,8,101.79258
-11.0,41,103.308814
-0.5,27,103.374814
-13.1,15,103.412444
-4.0,27,103.479445
-22.0,20,103.528798
-10.5,11,103.557799
-21.3,29,103.628311
-12.7,16,103.668312
6.1,12,103.698316
-11.4,40,103.79641
-12.2,6,103.81053
10.1,8,103.83053
12.2,26,103.895535
-4.9,30,105.066187
3.1,22,105.124436
-19.9,20,105.171437
-20.6,20,105.223473
-11.5,12,105.252472
6.4,18,105.297477
-18.2,12,105.327498
-12.5,13,105.359498
9.5,23,105.416517
-10.7,14,105.452517
0.3,22,105.505717
8.3,20,105.558719
-21.6,21,105.609831
-16.7,20,106.465621
0.6,28,106.543133
-13.2,7,106.563133
-10.1,12,106.593139
-15.8,24,106.654202
-14.0,24,106.715357
8.5,11,106.745357
-11.6,61,106.907984
-12.1,40,107.012499
11.1,7,107.031499
11.7,18,107.078499
7.4,23,108.708858
3.9,17,108.750858
-4.0,27,108.81889
7.9,13,108.85089
-18.0,25,108.912938
-14.3,13,108.945937
-18.8,14,108.980937
8.1,10,109.00913
5.3,23,109.063129
-16.8,12,109.094133
9.1,9,109.118166
5.0,18,109.160166
-13.2,7,109.177167
